release_n,incumbent_accuracy,candidate_accuracy,accuracy_gain_pp,accepted,scenario,repetition,training_size,innovation_signal,candidate_temperature
2000,0.5375,0.637,9.950000000000003,True,well_estimated,0,5000,0.8,1.0
2000,0.5115,0.6095,9.800000000000008,True,well_estimated,1,5000,0.8,1.0
2000,0.5165,0.588,7.15,True,well_estimated,2,5000,0.8,1.0
2000,0.5275,0.598,7.050000000000001,True,well_estimated,3,5000,0.8,1.0
2000,0.5375,0.6115,7.400000000000007,True,well_estimated,4,5000,0.8,1.0
2000,0.5425,0.6105,6.800000000000006,True,well_estimated,5,5000,0.8,1.0
2000,0.523,0.5995,7.650000000000001,True,well_estimated,6,5000,0.8,1.0
2000,0.511,0.6055,9.450000000000003,True,well_estimated,7,5000,0.8,1.0
2000,0.522,0.613,9.099999999999998,True,well_estimated,8,5000,0.8,1.0
2000,0.5205,0.616,9.550000000000002,True,well_estimated,9,5000,0.8,1.0
2000,0.503,0.592,8.899999999999997,True,well_estimated,10,5000,0.8,1.0
2000,0.537,0.625,8.799999999999997,True,well_estimated,11,5000,0.8,1.0
2000,0.5395,0.6365,9.699999999999998,True,well_estimated,12,5000,0.8,1.0
2000,0.5195,0.606,8.650000000000002,True,well_estimated,13,5000,0.8,1.0
2000,0.53,0.6065,7.650000000000001,True,well_estimated,14,5000,0.8,1.0
2000,0.5335,0.6195,8.600000000000009,True,well_estimated,15,5000,0.8,1.0
2000,0.5305,0.6085,7.800000000000007,True,well_estimated,16,5000,0.8,1.0
2000,0.5305,0.5995,6.900000000000006,True,well_estimated,17,5000,0.8,1.0
2000,0.516,0.617,10.099999999999998,True,well_estimated,18,5000,0.8,1.0
2000,0.541,0.6265,8.54999999999999,True,well_estimated,19,5000,0.8,1.0
2000,0.552,0.6315,7.94999999999999,True,well_estimated,20,5000,0.8,1.0
2000,0.533,0.6115,7.850000000000001,True,well_estimated,21,5000,0.8,1.0
2000,0.5265,0.612,8.550000000000002,True,well_estimated,22,5000,0.8,1.0
2000,0.53,0.602,7.199999999999996,True,well_estimated,23,5000,0.8,1.0
2000,0.5105,0.5985,8.800000000000008,True,well_estimated,24,5000,0.8,1.0
2000,0.536,0.6065,7.050000000000001,True,well_estimated,25,5000,0.8,1.0
2000,0.5215,0.61,8.850000000000001,True,well_estimated,26,5000,0.8,1.0
2000,0.53,0.6105,8.05,True,well_estimated,27,5000,0.8,1.0
2000,0.541,0.611,6.999999999999995,True,well_estimated,28,5000,0.8,1.0
2000,0.537,0.6145,7.750000000000002,True,well_estimated,29,5000,0.8,1.0
2000,0.5215,0.611,8.950000000000003,True,well_estimated,30,5000,0.8,1.0
2000,0.5315,0.6125,8.100000000000007,True,well_estimated,31,5000,0.8,1.0
2000,0.517,0.6135,9.650000000000002,True,well_estimated,32,5000,0.8,1.0
2000,0.5365,0.6,6.35,True,well_estimated,33,5000,0.8,1.0
2000,0.522,0.618,9.599999999999998,True,well_estimated,34,5000,0.8,1.0
2000,0.525,0.6095,8.450000000000003,True,well_estimated,35,5000,0.8,1.0
2000,0.517,0.5905,7.350000000000001,True,well_estimated,36,5000,0.8,1.0
2000,0.518,0.608,8.999999999999996,True,well_estimated,37,5000,0.8,1.0
2000,0.526,0.6135,8.750000000000002,True,well_estimated,38,5000,0.8,1.0
2000,0.5225,0.61,8.750000000000002,True,well_estimated,39,5000,0.8,1.0
2000,0.516,0.595,7.899999999999996,True,well_estimated,40,5000,0.8,1.0
2000,0.529,0.616,8.699999999999996,True,well_estimated,41,5000,0.8,1.0
2000,0.5305,0.6195,8.900000000000007,True,well_estimated,42,5000,0.8,1.0
2000,0.534,0.6185,8.450000000000003,True,well_estimated,43,5000,0.8,1.0
2000,0.5415,0.6205,7.9000000000000075,True,well_estimated,44,5000,0.8,1.0
2000,0.5305,0.614,8.350000000000001,True,well_estimated,45,5000,0.8,1.0
2000,0.5265,0.6095,8.300000000000008,True,well_estimated,46,5000,0.8,1.0
2000,0.5605,0.643,8.250000000000002,True,well_estimated,47,5000,0.8,1.0
2000,0.556,0.612,5.599999999999994,True,well_estimated,48,5000,0.8,1.0
2000,0.532,0.6165,8.450000000000003,True,well_estimated,49,5000,0.8,1.0
2000,0.5255,0.6045,7.9000000000000075,True,small_history,0,500,0.8,1.0
2000,0.525,0.5875,6.25,True,small_history,1,500,0.8,1.0
2000,0.5215,0.594,7.250000000000001,True,small_history,2,500,0.8,1.0
2000,0.518,0.6055,8.750000000000002,True,small_history,3,500,0.8,1.0
2000,0.5,0.5745,7.450000000000001,True,small_history,4,500,0.8,1.0
2000,0.5305,0.598,6.75,True,small_history,5,500,0.8,1.0
2000,0.5075,0.5795,7.200000000000006,True,small_history,6,500,0.8,1.0
2000,0.5225,0.6025,8.000000000000007,True,small_history,7,500,0.8,1.0
2000,0.502,0.5955,9.350000000000003,True,small_history,8,500,0.8,1.0
2000,0.5255,0.601,7.550000000000001,True,small_history,9,500,0.8,1.0
2000,0.509,0.6,9.099999999999998,True,small_history,10,500,0.8,1.0
2000,0.5175,0.5965,7.9000000000000075,True,small_history,11,500,0.8,1.0
2000,0.517,0.5915,7.450000000000001,True,small_history,12,500,0.8,1.0
2000,0.526,0.5925,6.65,True,small_history,13,500,0.8,1.0
2000,0.526,0.6115,8.550000000000002,True,small_history,14,500,0.8,1.0
2000,0.531,0.6025,7.15,True,small_history,15,500,0.8,1.0
2000,0.52,0.5925,7.250000000000001,True,small_history,16,500,0.8,1.0
2000,0.5185,0.5925,7.400000000000007,True,small_history,17,500,0.8,1.0
2000,0.531,0.606,7.499999999999996,True,small_history,18,500,0.8,1.0
2000,0.5155,0.572,5.6499999999999995,True,small_history,19,500,0.8,1.0
2000,0.539,0.6085,6.950000000000001,True,small_history,20,500,0.8,1.0
2000,0.5245,0.5825,5.800000000000005,True,small_history,21,500,0.8,1.0
2000,0.5125,0.601,8.850000000000001,True,small_history,22,500,0.8,1.0
2000,0.526,0.598,7.199999999999996,True,small_history,23,500,0.8,1.0
2000,0.5265,0.593,6.65,True,small_history,24,500,0.8,1.0
2000,0.512,0.591,7.899999999999996,True,small_history,25,500,0.8,1.0
2000,0.5185,0.613,9.450000000000003,True,small_history,26,500,0.8,1.0
2000,0.5195,0.6065,8.700000000000008,True,small_history,27,500,0.8,1.0
2000,0.524,0.599,7.499999999999996,True,small_history,28,500,0.8,1.0
2000,0.5235,0.5965,7.300000000000006,True,small_history,29,500,0.8,1.0
2000,0.5105,0.5805,7.000000000000006,True,small_history,30,500,0.8,1.0
2000,0.521,0.5975,7.650000000000001,True,small_history,31,500,0.8,1.0
2000,0.524,0.578,5.399999999999993,True,small_history,32,500,0.8,1.0
2000,0.5,0.575,7.499999999999996,True,small_history,33,500,0.8,1.0
2000,0.5335,0.6165,8.300000000000008,True,small_history,34,500,0.8,1.0
2000,0.5175,0.5855,6.800000000000006,True,small_history,35,500,0.8,1.0
2000,0.5325,0.5905,5.800000000000005,True,small_history,36,500,0.8,1.0
2000,0.513,0.5925,7.950000000000001,True,small_history,37,500,0.8,1.0
2000,0.5115,0.574,6.25,True,small_history,38,500,0.8,1.0
2000,0.5185,0.5925,7.400000000000007,True,small_history,39,500,0.8,1.0
2000,0.526,0.6085,8.250000000000002,True,small_history,40,500,0.8,1.0
2000,0.527,0.611,8.399999999999997,True,small_history,41,500,0.8,1.0
2000,0.5355,0.5915,5.600000000000005,True,small_history,42,500,0.8,1.0
2000,0.535,0.5925,5.75,True,small_history,43,500,0.8,1.0
2000,0.5265,0.5985,7.200000000000006,True,small_history,44,500,0.8,1.0
2000,0.516,0.598,8.199999999999996,True,small_history,45,500,0.8,1.0
2000,0.5035,0.5755,7.200000000000006,True,small_history,46,500,0.8,1.0
2000,0.518,0.6,8.199999999999996,True,small_history,47,500,0.8,1.0
2000,0.5115,0.598,8.650000000000002,True,small_history,48,500,0.8,1.0
2000,0.5225,0.5915,6.900000000000006,True,small_history,49,500,0.8,1.0
2000,0.5395,0.54,0.050000000000005596,True,weak_innovation,0,2000,0.3,1.0
2000,0.539,0.5375,-0.15000000000000568,False,weak_innovation,1,2000,0.3,1.0
2000,0.537,0.544,0.7000000000000006,True,weak_innovation,2,2000,0.3,1.0
2000,0.5235,0.527,0.35000000000000586,True,weak_innovation,3,2000,0.3,1.0
2000,0.5275,0.55,2.2500000000000075,True,weak_innovation,4,2000,0.3,1.0
2000,0.507,0.5275,2.0499999999999963,True,weak_innovation,5,2000,0.3,1.0
2000,0.5355,0.548,1.2500000000000067,True,weak_innovation,6,2000,0.3,1.0
2000,0.512,0.509,-0.30000000000000027,False,weak_innovation,7,2000,0.3,1.0
2000,0.5125,0.532,1.9500000000000073,True,weak_innovation,8,2000,0.3,1.0
2000,0.5255,0.53,0.45000000000000595,True,weak_innovation,9,2000,0.3,1.0
2000,0.5325,0.539,0.6500000000000061,True,weak_innovation,10,2000,0.3,1.0
2000,0.544,0.55,0.6000000000000005,True,weak_innovation,11,2000,0.3,1.0
2000,0.5295,0.5355,0.6000000000000005,True,weak_innovation,12,2000,0.3,1.0
2000,0.5425,0.549,0.6500000000000061,True,weak_innovation,13,2000,0.3,1.0
2000,0.54,0.5525,1.2499999999999956,True,weak_innovation,14,2000,0.3,1.0
2000,0.519,0.5335,1.4499999999999957,True,weak_innovation,15,2000,0.3,1.0
2000,0.5335,0.532,-0.14999999999999458,False,weak_innovation,16,2000,0.3,1.0
2000,0.537,0.542,0.5000000000000004,True,weak_innovation,17,2000,0.3,1.0
2000,0.519,0.538,1.9000000000000017,True,weak_innovation,18,2000,0.3,1.0
2000,0.532,0.535,0.30000000000000027,True,weak_innovation,19,2000,0.3,1.0
2000,0.5405,0.542,0.15000000000000568,True,weak_innovation,20,2000,0.3,1.0
2000,0.5065,0.5135,0.7000000000000006,True,weak_innovation,21,2000,0.3,1.0
2000,0.519,0.539,2.0000000000000018,True,weak_innovation,22,2000,0.3,1.0
2000,0.519,0.5425,2.3499999999999965,True,weak_innovation,23,2000,0.3,1.0
2000,0.5355,0.54,0.45000000000000595,True,weak_innovation,24,2000,0.3,1.0
2000,0.5105,0.5205,1.0000000000000009,True,weak_innovation,25,2000,0.3,1.0
2000,0.5345,0.5525,1.8000000000000016,True,weak_innovation,26,2000,0.3,1.0
2000,0.519,0.5295,1.0499999999999954,True,weak_innovation,27,2000,0.3,1.0
2000,0.545,0.5445,-0.050000000000005596,False,weak_innovation,28,2000,0.3,1.0
2000,0.5265,0.542,1.550000000000007,True,weak_innovation,29,2000,0.3,1.0
2000,0.536,0.538,0.20000000000000018,True,weak_innovation,30,2000,0.3,1.0
2000,0.511,0.517,0.6000000000000005,True,weak_innovation,31,2000,0.3,1.0
2000,0.531,0.5365,0.5499999999999949,True,weak_innovation,32,2000,0.3,1.0
2000,0.518,0.527,0.9000000000000008,True,weak_innovation,33,2000,0.3,1.0
2000,0.53,0.541,1.100000000000001,True,weak_innovation,34,2000,0.3,1.0
2000,0.53,0.539,0.9000000000000008,True,weak_innovation,35,2000,0.3,1.0
2000,0.5245,0.5305,0.6000000000000005,True,weak_innovation,36,2000,0.3,1.0
2000,0.535,0.5485,1.3499999999999956,True,weak_innovation,37,2000,0.3,1.0
2000,0.5055,0.525,1.9500000000000073,True,weak_innovation,38,2000,0.3,1.0
2000,0.5035,0.5225,1.9000000000000017,True,weak_innovation,39,2000,0.3,1.0
2000,0.5345,0.551,1.650000000000007,True,weak_innovation,40,2000,0.3,1.0
2000,0.5285,0.545,1.650000000000007,True,weak_innovation,41,2000,0.3,1.0
2000,0.524,0.5335,0.9499999999999953,True,weak_innovation,42,2000,0.3,1.0
2000,0.5395,0.5495,1.0000000000000009,True,weak_innovation,43,2000,0.3,1.0
2000,0.522,0.525,0.30000000000000027,True,weak_innovation,44,2000,0.3,1.0
2000,0.5475,0.542,-0.5499999999999949,False,weak_innovation,45,2000,0.3,1.0
2000,0.5355,0.5355,0.0,False,weak_innovation,46,2000,0.3,1.0
2000,0.518,0.5255,0.7499999999999951,True,weak_innovation,47,2000,0.3,1.0
2000,0.5185,0.5295,1.100000000000001,True,weak_innovation,48,2000,0.3,1.0
2000,0.524,0.5285,0.44999999999999485,True,weak_innovation,49,2000,0.3,1.0
2000,0.5295,0.5955,6.600000000000006,True,overconfident,0,2000,0.8,0.5
2000,0.5085,0.5925,8.400000000000007,True,overconfident,1,2000,0.8,0.5
2000,0.5335,0.619,8.550000000000002,True,overconfident,2,2000,0.8,0.5
2000,0.5405,0.621,8.05,True,overconfident,3,2000,0.8,0.5
2000,0.5215,0.6085,8.700000000000008,True,overconfident,4,2000,0.8,0.5
2000,0.52,0.603,8.299999999999997,True,overconfident,5,2000,0.8,0.5
2000,0.513,0.612,9.899999999999999,True,overconfident,6,2000,0.8,0.5
2000,0.53,0.5935,6.35,True,overconfident,7,2000,0.8,0.5
2000,0.5185,0.61,9.150000000000002,True,overconfident,8,2000,0.8,0.5
2000,0.5345,0.62,8.550000000000002,True,overconfident,9,2000,0.8,0.5
2000,0.533,0.6135,8.05,True,overconfident,10,2000,0.8,0.5
2000,0.533,0.6125,7.950000000000001,True,overconfident,11,2000,0.8,0.5
2000,0.52,0.6165,9.650000000000002,True,overconfident,12,2000,0.8,0.5
2000,0.521,0.607,8.599999999999996,True,overconfident,13,2000,0.8,0.5
2000,0.531,0.5995,6.8500000000000005,True,overconfident,14,2000,0.8,0.5
2000,0.5385,0.6135,7.500000000000007,True,overconfident,15,2000,0.8,0.5
2000,0.5455,0.6205,7.500000000000007,True,overconfident,16,2000,0.8,0.5
2000,0.513,0.593,7.9999999999999964,True,overconfident,17,2000,0.8,0.5
2000,0.532,0.5895,5.75,True,overconfident,18,2000,0.8,0.5
2000,0.539,0.619,7.9999999999999964,True,overconfident,19,2000,0.8,0.5
2000,0.5455,0.6225,7.700000000000006,True,overconfident,20,2000,0.8,0.5
2000,0.528,0.6265,9.849999999999993,True,overconfident,21,2000,0.8,0.5
2000,0.547,0.604,5.699999999999994,True,overconfident,22,2000,0.8,0.5
2000,0.519,0.588,6.899999999999995,True,overconfident,23,2000,0.8,0.5
2000,0.508,0.5885,8.05,True,overconfident,24,2000,0.8,0.5
2000,0.528,0.604,7.599999999999996,True,overconfident,25,2000,0.8,0.5
2000,0.5335,0.6135,8.000000000000007,True,overconfident,26,2000,0.8,0.5
2000,0.532,0.5995,6.75,True,overconfident,27,2000,0.8,0.5
2000,0.5415,0.6175,7.600000000000007,True,overconfident,28,2000,0.8,0.5
2000,0.521,0.597,7.599999999999996,True,overconfident,29,2000,0.8,0.5
2000,0.5245,0.6135,8.900000000000007,True,overconfident,30,2000,0.8,0.5
2000,0.5125,0.597,8.450000000000003,True,overconfident,31,2000,0.8,0.5
2000,0.525,0.615,8.999999999999996,True,overconfident,32,2000,0.8,0.5
2000,0.538,0.623,8.499999999999996,True,overconfident,33,2000,0.8,0.5
2000,0.5105,0.6155,10.500000000000009,True,overconfident,34,2000,0.8,0.5
2000,0.5375,0.6065,6.900000000000006,True,overconfident,35,2000,0.8,0.5
2000,0.5325,0.6215,8.900000000000007,True,overconfident,36,2000,0.8,0.5
2000,0.5235,0.601,7.750000000000002,True,overconfident,37,2000,0.8,0.5
2000,0.5335,0.605,7.15,True,overconfident,38,2000,0.8,0.5
2000,0.536,0.619,8.299999999999997,True,overconfident,39,2000,0.8,0.5
2000,0.5345,0.6155,8.100000000000007,True,overconfident,40,2000,0.8,0.5
2000,0.525,0.602,7.699999999999996,True,overconfident,41,2000,0.8,0.5
2000,0.5235,0.5925,6.900000000000006,True,overconfident,42,2000,0.8,0.5
2000,0.5405,0.604,6.35,True,overconfident,43,2000,0.8,0.5
2000,0.5365,0.6055,6.900000000000006,True,overconfident,44,2000,0.8,0.5
2000,0.5125,0.613,10.050000000000004,True,overconfident,45,2000,0.8,0.5
2000,0.524,0.6205,9.650000000000002,True,overconfident,46,2000,0.8,0.5
2000,0.531,0.602,7.099999999999995,True,overconfident,47,2000,0.8,0.5
2000,0.5155,0.604,8.850000000000001,True,overconfident,48,2000,0.8,0.5
2000,0.5295,0.6025,7.300000000000006,True,overconfident,49,2000,0.8,0.5
2000,0.5355,0.609,7.350000000000001,True,underconfident,0,2000,0.8,2.0
2000,0.5335,0.6165,8.300000000000008,True,underconfident,1,2000,0.8,2.0
2000,0.515,0.5925,7.750000000000002,True,underconfident,2,2000,0.8,2.0
2000,0.542,0.6215,7.950000000000001,True,underconfident,3,2000,0.8,2.0
2000,0.5235,0.613,8.950000000000003,True,underconfident,4,2000,0.8,2.0
2000,0.538,0.6125,7.450000000000001,True,underconfident,5,2000,0.8,2.0
2000,0.5305,0.6275,9.699999999999998,True,underconfident,6,2000,0.8,2.0
2000,0.526,0.613,8.699999999999996,True,underconfident,7,2000,0.8,2.0
2000,0.537,0.6165,7.950000000000001,True,underconfident,8,2000,0.8,2.0
2000,0.53,0.6295,9.949999999999992,True,underconfident,9,2000,0.8,2.0
2000,0.5205,0.604,8.350000000000001,True,underconfident,10,2000,0.8,2.0
2000,0.5305,0.6045,7.400000000000007,True,underconfident,11,2000,0.8,2.0
2000,0.5315,0.617,8.550000000000002,True,underconfident,12,2000,0.8,2.0
2000,0.5355,0.6045,6.900000000000006,True,underconfident,13,2000,0.8,2.0
2000,0.512,0.619,10.7,True,underconfident,14,2000,0.8,2.0
2000,0.51,0.5815,7.15,True,underconfident,15,2000,0.8,2.0
2000,0.5275,0.602,7.450000000000001,True,underconfident,16,2000,0.8,2.0
2000,0.524,0.604,7.9999999999999964,True,underconfident,17,2000,0.8,2.0
2000,0.52,0.5825,6.25,True,underconfident,18,2000,0.8,2.0
2000,0.5325,0.605,7.250000000000001,True,underconfident,19,2000,0.8,2.0
2000,0.5305,0.6165,8.600000000000009,True,underconfident,20,2000,0.8,2.0
2000,0.5105,0.5905,8.000000000000007,True,underconfident,21,2000,0.8,2.0
