scenario,alpha,repetitions,move_share,nfr,predicted_gain_pp,conditional_gain_pp,conditional_gain_se,realized_gain_pp,realized_gain_se,positive_realized_share,robust_lower_bound_pp,acceptance_rate,stress_pass
well_estimated,0.0,50,0.0,0.0,7.751358871019611,7.5640977008356876,0.0676617912283521,7.535,0.173973992635045,1.0,3.454941351410416,1.0,True
well_estimated,0.25,50,0.021933333333333298,0.0317658811533755,4.082235931386582,3.9536907010493136,0.045993054285685044,3.9716666666666667,0.17508679415515135,1.0,-0.3334633347111493,1.0,True
well_estimated,0.5,50,0.03819999999999997,0.06673823265896293,1.3474971152547692,1.2818999348384579,0.02478510703066807,1.1699999999999997,0.12249670271836191,0.92,-3.166595977367463,1.0,True
well_estimated,0.75,50,0.05634999999999997,0.10325339586173264,0.229264979575198,0.2003519624649757,0.010354391734417403,0.2583333333333339,0.0574520405333984,0.74,-4.340654392268804,1.0,True
well_estimated,1.0,50,0.0742333333333333,0.1344738676476498,0.0,0.0,0.0,0.0,0.0,0.0,-4.594891124118284,1.0,True
small_history,0.0,50,0.0,0.0,8.527934629016723,6.835756119630933,0.08814301703008677,6.715,0.18464420035739978,1.0,-6.011306004187648,1.0,True
small_history,0.25,50,0.023133333333333304,0.03359595726795648,4.5015763322088,3.33999413466033,0.06800398339836847,3.293333333333334,0.15491274700189617,1.0,-10.514376651302241,1.0,True
small_history,0.5,50,0.04111666666666663,0.0750156106984504,1.4777507403775467,0.8997975451132448,0.060726011168578425,0.901666666666667,0.1359165159931931,0.82,-13.919807090899413,1.0,True
small_history,0.75,50,0.061083333333333295,0.1133800606140558,0.2439980688915914,0.03281941174800667,0.032589856218804836,0.0050000000000000626,0.08894092156226326,0.5,-15.364016558479152,1.0,True
small_history,1.0,50,0.07879999999999997,0.14855926120473506,0.0,0.0,0.0,0.0,0.0,0.0,-15.694277710322247,1.0,True
weak_innovation,0.0,44,0.0,0.0,1.3980197553541311,0.9978707485203998,0.019957478876828468,1.1496212121212124,0.14848847766702936,0.8409090909090909,-5.695141412819014,0.88,True
weak_innovation,0.25,44,0.012727272727272691,0.019299074518490316,0.7965903055401771,0.4959486637030683,0.018193901736637305,0.5643939393939396,0.10806614596738098,0.75,-6.338239294799789,0.88,True
weak_innovation,0.5,44,0.018939393939393902,0.04004107014409178,0.3346441195954819,0.15387428643960324,0.014008437320562766,0.1837121212121207,0.10365287472688993,0.6136363636363636,-6.834721480296537,0.88,True
weak_innovation,0.75,44,0.025056818181818152,0.061232043492305196,0.07919016516367108,-0.0001881200118184297,0.008952590596991454,0.03219696969696972,0.06582314692531238,0.5909090909090909,-7.1184008055076955,0.88,True
weak_innovation,1.0,44,0.03015151515151511,0.08324209010789006,0.0,0.0,0.0,0.0,0.0,0.0,-7.214730371409962,0.88,True
overconfident,0.0,50,0.0,0.0,13.297468533964485,7.209554877808903,0.07305583203491647,7.2683333333333335,0.18194106468966312,1.0,-18.595781269341547,1.0,True
overconfident,0.25,50,0.030833333333333303,0.052156164082234696,4.866677654471707,2.3186794202617143,0.0434447409033119,2.448333333333333,0.1259856828780534,1.0,-29.24327640163496,1.0,True
overconfident,0.5,50,0.054183333333333306,0.09423412457718187,0.906277039717745,0.3482042346231391,0.017489387138345858,0.418333333333333,0.08619212047892236,0.68,-34.40421877190321,1.0,True
overconfident,0.75,50,0.06776666666666663,0.11902023511992964,0.10623007598287149,0.03212615209135548,0.008908018911515882,0.08333333333333365,0.052919311359268834,0.54,-35.56216155685715,1.0,True
overconfident,1.0,50,0.07574999999999997,0.1334897407435398,0.0,0.0,0.0,0.0,0.0,0.0,-35.74388233106079,1.0,True
underconfident,0.0,50,0.0,0.0,3.5968526259636855,7.411811676033097,0.07603511341806654,7.411666666666667,0.17257240749223027,1.0,-28.884513685811868,1.0,True
underconfident,0.25,50,0.01616666666666663,0.01533430609627221,2.5946226347816603,5.435676677726186,0.06525564635088235,5.411666666666666,0.1679948776348988,1.0,-30.632492751792626,1.0,True
underconfident,0.5,50,0.027649999999999966,0.0379797971411284,1.4165474700743104,3.030077729931508,0.048789975116015766,2.9533333333333336,0.13785200253596103,1.0,-32.647035893969985,1.0,True
underconfident,0.75,50,0.04394999999999996,0.07602283218017764,0.40090644256297475,0.8661005854984883,0.03379711821390399,0.86,0.12248466977979632,0.84,-34.52216983356874,1.0,True
underconfident,1.0,50,0.07451666666666663,0.13370886382269506,0.0,0.0,0.0,0.0,0.0,0.0,-35.38519052747851,1.0,True
