n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,alpha,repetition,batch,release_gain_pp
500,0,0,0,0.0,0.0,0,154,0.506,0.606,9.999999999999998,0.5186562713953027,0.5939335973140534,7.527732591875069,253,0,31,0.0,0.1225296442687747,0.0,0,0,6.700000000000006
500,5,5,5,0.01,0.01,19,151,0.528,0.608,7.9999999999999964,0.5360383599567069,0.5955602804310378,5.952192047433091,253,3,31,0.011857707509881422,0.1225296442687747,0.1,0,0,6.700000000000006
500,3,3,3,0.006,0.006,36,153,0.544,0.608,6.399999999999995,0.5472354870530858,0.5950299565777637,4.779446952467792,253,6,31,0.023715415019762844,0.1225296442687747,0.2,0,0,6.700000000000006
500,8,8,8,0.016,0.016,62,149,0.566,0.61,4.400000000000004,0.5656194525721289,0.596234030642725,3.061457807059609,253,10,30,0.039525691699604744,0.11857707509881422,0.30000000000000004,0,0,6.700000000000006
500,10,10,10,0.02,0.02,81,151,0.576,0.61,3.400000000000003,0.5758119391465113,0.5966391481017139,2.0827208955202625,253,13,31,0.05138339920948617,0.1225296442687747,0.4,0,0,6.700000000000006
500,20,20,20,0.04,0.04,99,151,0.586,0.618,3.200000000000003,0.5857918157588696,0.5982678755159466,1.2476059757076996,253,18,30,0.07114624505928854,0.11857707509881422,0.5,0,0,6.700000000000006
500,22,22,22,0.044,0.044,111,152,0.586,0.614,2.8000000000000025,0.5911738000303385,0.5984938747019999,0.7320074671661403,253,21,31,0.08300395256916997,0.1225296442687747,0.6000000000000001,0,0,6.700000000000006
500,26,26,26,0.052,0.052,120,153,0.592,0.62,2.8000000000000025,0.5942596106388519,0.5987653147624235,0.4505704123571541,253,24,31,0.09486166007905138,0.1225296442687747,0.7000000000000001,0,0,6.700000000000006
500,28,28,28,0.056,0.056,132,155,0.602,0.62,1.8000000000000016,0.5971909455522013,0.5988817093064397,0.1690763754238378,253,27,31,0.1067193675889328,0.1225296442687747,0.8,0,0,6.700000000000006
500,33,33,33,0.066,0.066,147,158,0.614,0.624,1.0000000000000009,0.598684555361401,0.5990836587390288,0.039910337762782966,253,31,31,0.1225296442687747,0.1225296442687747,0.9,0,0,6.700000000000006
500,36,36,36,0.072,0.072,159,159,0.626,0.626,0.0,0.5991247776327779,0.5991247776327779,0.0,253,31,31,0.1225296442687747,0.1225296442687747,1.0,0,0,6.700000000000006
500,0,0,0,0.0,0.0,0,144,0.526,0.626,9.999999999999998,0.5334767916825708,0.6074570714273527,7.398027974478194,263,0,30,0.0,0.11406844106463879,0.0,0,1,6.700000000000006
500,4,4,4,0.008,0.008,12,146,0.534,0.634,9.999999999999998,0.5426296776579776,0.6090835309917715,6.645385333379384,263,3,30,0.011406844106463879,0.11406844106463879,0.1,0,1,6.700000000000006
500,3,3,3,0.006,0.006,35,146,0.562,0.63,6.799999999999995,0.5594474459058199,0.60874473613194,4.929729022612017,263,6,31,0.022813688212927757,0.11787072243346007,0.2,0,1,6.700000000000006
500,7,7,7,0.014,0.014,63,149,0.584,0.632,4.800000000000004,0.5788480242702299,0.6099044553069661,3.1056431036736276,263,12,32,0.045627376425855515,0.12167300380228137,0.30000000000000004,0,1,6.700000000000006
500,2,2,2,0.004,0.004,76,145,0.588,0.63,4.200000000000004,0.5874480983880267,0.6083637349195111,2.0915636531484427,263,16,30,0.060836501901140684,0.11406844106463879,0.4,0,1,6.700000000000006
500,9,9,9,0.018,0.018,92,148,0.606,0.634,2.8000000000000025,0.5972368054763647,0.610356545994224,1.3119740517859246,263,17,31,0.06463878326996197,0.11787072243346007,0.5,0,1,6.700000000000006
500,11,11,11,0.022,0.022,99,149,0.614,0.628,1.4000000000000012,0.6010590385535786,0.6106881330747064,0.9629094521127812,263,18,33,0.06844106463878327,0.12547528517110265,0.6000000000000001,0,1,6.700000000000006
500,17,17,17,0.034,0.034,116,150,0.626,0.63,0.40000000000000036,0.6069294117849799,0.61129743949607,0.4368027711090017,263,21,34,0.07984790874524715,0.12927756653992395,0.7000000000000001,0,1,6.700000000000006
500,23,23,23,0.046,0.046,129,154,0.632,0.634,0.20000000000000018,0.6091261622223213,0.6116544517877261,0.2528289565404851,263,25,35,0.09505703422053231,0.13307984790874525,0.8,0,1,6.700000000000006
500,30,30,29,0.06,0.058,145,155,0.636,0.632,-0.40000000000000036,0.6114347289152812,0.6117780794524699,0.034335053718870245,263,30,36,0.11406844106463879,0.13688212927756654,0.9,0,1,6.700000000000006
