alpha,repetitions,mean_move_share,mean_nfr,baseline_accuracy,baseline_accuracy_se,operational_accuracy,operational_accuracy_se,expected_gain_pp,realized_gain_pp,realized_gain_se,positive_repetition_share,planning_batches,movement_violations
0,200,0,0,0.52921,0.00065152584726,0.605566,0.000684711889673,7.61077231745,7.6356,0.064555248435,1,1000,0
0.1,200,0.010394,0.0108030832483,0.545442,0.00068491218672,0.60748,0.000707712004566,6.18116658008,6.2038,0.063607842189,1,1000,0
0.2,200,0.015286,0.0229977130701,0.560812,0.000663148633832,0.608024,0.000711392660623,4.70145404518,4.7212,0.0572241717209,1,1000,0
0.3,200,0.019972,0.0360178433364,0.575304,0.000666035989792,0.6088,0.000708937913236,3.35029971973,3.3496,0.049794141045,1,1000,0
0.4,200,0.026076,0.050314254323,0.587376,0.000698959111248,0.60961,0.000698117713361,2.22567854196,2.2234,0.0413357645041,1,1000,0
0.5,200,0.032846,0.0649130556089,0.596482,0.00070647997123,0.610188,0.00068222462002,1.35884915958,1.3706,0.038227541441,0.98,1000,0
0.6,200,0.04073,0.0797496655137,0.603142,0.000693761997044,0.610892,0.000686242174169,0.751339848438,0.775,0.0373670507588,0.93,1000,0
0.7,200,0.048592,0.0940754535204,0.607252,0.000691858236271,0.611212,0.000683349186399,0.36529035871,0.396,0.0283055830209,0.815,1000,0
0.8,200,0.056732,0.107869842161,0.609926,0.000698858092295,0.6114,0.000686507437914,0.139798207193,0.1474,0.0231100969906,0.665,1000,0
0.9,200,0.064258,0.120917478786,0.611294,0.00070010467272,0.611608,0.000688845571304,0.0292674529149,0.0314,0.0158482185166,0.555,1000,0
1,200,0.070698,0.132757004413,0.611602,0.000699596423504,0.611602,0.000699596423504,0,0,0,0,1000,0
